Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,0139744593731478","0,0109514707558618","0,159290409867361",0,0,0,"0,763096236233645","0,00110852256384707","2,44534980372812E-11","-7,7332712921807E-11","0,000950092672162934","6,38622198180867E-06","0,00111374448220001",0,0,0,0,0,0,package://bottleBot_description/meshes/base_link.STL,"0,752941176470588","0,752941176470588",1,1,0,0,0,0,0,0,package://bottleBot_description/meshes/base_link.STL,,baseBottleBot-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_link,"-0,0125","3,4694E-18",0,0,0,0,"0,021692","3,3737E-06","-4,0849E-39","-1,2044E-38","2,7308E-06","7,6788E-41","2,7308E-06",0,0,0,0,0,0,package://bottleBot_description/meshes/right_link.STL,"0,25098","0,25098","0,25098",1,0,0,0,0,0,0,package://bottleBot_description/meshes/right_link.STL,,wheelBottleBot-1,Origin_right_joint2,Axis_right_joint2,right_joint,continuous,0,"-0,055","0,01","1,5708",0,"1,5708",base_link,1,0,0,,,,,,,,,,,,
left_link,"-0,0125","3,4694E-18",0,0,0,0,"0,021692","3,3737E-06","-4,0849E-39","-1,2044E-38","2,7308E-06","7,6788E-41","2,7308E-06",0,0,0,0,0,0,package://bottleBot_description/meshes/left_link.STL,1,1,1,1,0,0,0,0,0,0,package://bottleBot_description/meshes/left_link.STL,,wheelBottleBotLeft-1,Origin_left_joint2,Axis_left_joint2,left_joint,continuous,0,"0,055","0,01","1,5708",0,"1,5708",base_link,1,0,0,,,,,,,,,,,,
